symbol,coin_name,slug
CPC,Capricoin,capricoin
XBS,BitStake,bitstake
NXTprivacy,NXTprivacy,nxtprivacy
SIB,SIBCoin,sibcoin
YUM,CandyCoin,candycoin
SKYNET,SkyNET,skynet-asset
NYC,NewYorkCoin,newyorkcoin
GAIA,GAIA,gaia
AGS,Aegis,aegis
XBC,Bitcoin Plus,bitcoin-plus
DRKT,DarkTron,darktron
MONA,MonaCoin,monacoin
OPAL,Opal,opal
BLITZ,Blitz,blitz
TAG,TagCoin,tagcoin
DRKC,DarkCash,darkcash
XMR,Monero,monero
SPA,SpainCoin,spaincoin
SPC,SpikesPrivateCoin,spikesprivatecoin
HEEL,HeelCoin,heelcoin
TAK,TakCoin,takcoin
PRIME,PrimeChain,primechain
XPM,Primecoin,primecoin
GP,GoldPieces,goldpieces
BTCS,Bitcoin Scrypt,bitcoin-scrypt
IXC,Ixcoin,ixcoin
MTLMC3,Metal Music Coin,metal-music-coin
NOBL,NobleCoin,noblecoin
FIC,Full Integrity Coin,full-integrity-coin
XPY,PayCoin,paycoin2
PIGGY,Piggycoin,piggycoin
BGCAFFE,Buongiorno Caffe,buongiorno-caffe
FIMK,FIMKrypto,fimkrypto
BYC,Bytecent,bytecent
BTCD,BitcoinDark,bitcoindark
TRICK,TrickyCoin,trickycoin
MNC,Mincoin,mincoin
MAX,MaxCoin,maxcoin
LAB,Coinworkscoin,coinworkscoin
PAC,Paccoin,paccoin
MAD,SatoshiMadness,satoshimadness
FFC,FireFlyCoin,fireflycoin
GUA,Guarany,guarany
BEN,Benjamins,benjamins
GUE,Guerillacoin,guerillacoin
EVO,Evotion,evotion
DTC,Datacoin,datacoin
CME,Cashme,cashme
GUN,Guncoin,guncoin
YBC,YbCoin,ybcoin
BET,BetaCoin,betacoin
LSD,Lightspeed,lightspeed
HUC,HunterCoin,huntercoin
HUN,Hundredcoin,hundredcoin
KDC,KlondikeCoin,klondikecoin
TTC,TittieCoin,tittiecoin
NMB,Nimbus,nimbus
GRT,Grantcoin,grantcoin
GRS,GroestlCoin,groestlcoin
BLU,BlueCoin,bluecoin
1337,1337,1337
SOLE,Solecoin,solecoin
FLAX,Flaxscript,flaxscript
GRF,Graffiti,graffiti
FTC,Feathercoin,feathercoin
GRE,Greencoin,greencoin
GRC,GridCoin,gridcoin
BLK,BlackCoin,blackcoin
CRACK,CrackCoin,crackcoin
GRN,GraniteCoin,granitecoin
SPRTS,Sprouts,sprouts
DSB,DarkShibe,darkshibe
BLC,Blakecoin,blakecoin
COOL,CoolCoin,coolcoin
HYPER,Hyper,hyper
URC,Unrealcoin,unrealcoin
MI,Xiaomicoin,xiaomicoin
NOC,Nocturna,nocturna
EMC2,Einsteinium,einsteinium
CBX,Crypto Bullion,cryptogenic-bullion
SPR,SpreadCoin,spreadcoin
EKN,Elektron,elektron
DON,Donationcoin,donationcoin
SHF,Shift,shift
FJC,FujiCoin,fujicoin
CRYPT,CryptCoin,cryptcoin
REP,Augur,augur
GLC,GlobalCoin,globalcoin
GLD,GoldCoin,goldcoin
XSEED,BitSeeds,bitseeds
CTM,ContinuumCoin,continuumcoin
CTO,Crypto,crypto
SMC,SmartCoin,smartcoin
RED,RedCoin,redcoin
CLAM,Clams,clams
FCT,Factom,factom
BST,BitStone,bitstone
XFC,Forevercoin,forevercoin
DROP,Faucetcoin,faucetcoin
BITEUR,bitEUR,biteur
FCN,Fantomcoin,fantomcoin
BSC,BowsCoin,bowscoin
LTS,LiteStarCoin,litestarcoin
FC2,FuelCoin,fuelcoin
DFT,DraftCoin,draftcoin
AUM,Alexium,alexium
LTC,Litecoin,litecoin
LTB,LiteBar,litebar
UNITY,SuperNET,supernet-unity
AUR,Auroracoin,auroracoin
XTC,TileCoin,tilecoin
VEC,Vector,vector
LTD,LimitedCoin,limitedcoin
BTQ,BitQuark,bitquark
CAT,Catcoin,catcoin
ALN,Aliencoin,aliencoin
QUIT,QuitDough,quitdough
BTS,BitShares,bitshares
ALF,AlphaCoin,alphacoin
NTR,Neutrino,neutrino
SBC,StableCoin,stablecoin
SC,Siacoin,siacoin
ORB,Orbitcoin,orbitcoin
MMC,Memorycoin,memorycoin
GLYPH,Glyph,glyph
I0C,I0Coin,i0coin
BAT,BatCoin,batcoin
SSV,SSVCoin,ssvcoin
FUTC,FutCoin,futcoin
TOR,TorCoin,torcoin
SOIL,SOILcoin,soilcoin
TOP,TopCoin,topcoin
CAP,Bottlecaps,bottlecaps
RIPO,RipoffCoin,ripoffcoin
BAY,BitBay,bitbay
OS76,OsmiumCoin,osmiumcoin
ERC,EuropeCoin,europecoin
HAL,Halcyon,halcyon
BTE,Bytecoin,bytecoin-bte
BTG,Bitgem,bitgem
CELL,SolarFarm,solarfarm
Privatebet,Privatebet,privatebet
XPB,Pebblecoin,pebblecoin
MGW,MGW,mgw
VPN,VPNCoin,vpncoin
ABC,Asset Backed Coin,asset-backed-coin
HUGE,BigCoin,bigcoin
DCYP,DarkCypher,darkcypher
BANX,BanxShares,banxshares
NEOS,NeosCoin,neoscoin
STV,Sativacoin,sativacoin
ANTI,AntiBitcoin,antibitcoin
RZR,Razor,razor
STR,StarCoin,starcoin
CZC,CzechCrownCoin,czechcrowncoin
ABY,ArtByte,applebyte
EXCL,ExclusiveCoin,exclusivecoin
XPD,PetroDollar,petrodollar
CACH,CacheCoin,cachecoin
ORO,ORObit,orobit
HZT,HazMatCoin,hazmatcoin
JINN,Jinn,jinn
PND,Pandacoin,pandacoin-pnd
GB,GreenBacks,greenbacks
XXX,XxXcoin,xxxcoin
XQN,Quotient,quotient
MIN,Mineralscoin,minerals
SF0,sharkfund0,sharkfund0
LIT,Lightcoin,lightcoin
GHC,GamerholicCoin,gamerholiccoin
XUP,UPcoin,upcoin
ZNY,Bitzeny,bitzeny
GAP,Gapcoin,gapcoin
AMBER,AmberCoin,ambercoin
DIBS,Dibbits,dibbits
PRC,ProsperCoin,prospercoin
MEOW,Kittehcoin,kittehcoin
PRT,Particle,particle
CHA,Chancecoin,chancecoin
CHC,ChainCoin,chaincoin
MRY,Murraycoin,murraycoin
JAY,Jay,jay
MMNXT,MMNXT,mmnxt
URO,Uro,uro
MRS,Marscoin,marscoin
020,020LondonCoin,o2olondoncoin
QBK,Qibuck,qibuck
DIGS,Diggits,diggits
MRC,microCoin,microcoin
UTIL,UtilityCoin,utilitycoin
VIA,Viacoin,viacoin
DBL,Doubloons,doubloons
MMBTCD,MMBTCD,mmbtcd
SFR,SaffronCoin,saffroncoin
8BIT,8Bit,8bit
APC,Applecoin,applecoin
NIRO,Nexus,coinshield
PYC,Paycoin,paycoin
GREXIT,Grexit,grexit
XLM,Stellar,stellar
KORE,KoreCoin,korecoin
FRDC,FreedomCoin,freedomcoin
XLB,Libertycoin,libertycoin
CAIx,CAIx,caix
IFC,Infinitecoin,infinitecoin
NEU,NeuCoin,neucoin
SLING,Sling,sling
PLNC,PLNcoin,plncoin
PKB,ParkByte,parkbyte
PSEUD,PseudoCash,pseudocoin
CAID,Coinaid,coinaid
NLG,Gulden,guldencoin
TENNET,TenneT,tennet
GCC,GuccioneCoin,guccionecoin
DOGED,DogeCoinDark,dogecoindark
WOP,WorldPay,worldpay
CSC,CasinoCoin,casinocoin
GCN,GCoin,gcoin
SHA,SHACoin,shacoin
GCR,Global Currency Reserve,global-currency-reserve
MOTO,Motocoin,motocoin
SHADE,ShadeCoin,shadecoin
RT2,RotoCoin,rotocoin
MONETA,Moneta,moneta2
CAGE,CageCoin,cagecoin
LEAF,LeafCoin,leafcoin
GSY,GenesysCoin,genesyscoin
XCE,Cerium,cerium
XCH,ClearingHouse,clearinghouse
DOGE,Dogecoin,dogecoin
XCN,Cryptonite,cryptonite
BTX,BitcoinTX,bitcointx
MOON,Mooncoin,mooncoin
XCR,Crypti,crypti
XCP,Counterparty,counterparty
BTA,Bata,bata
BTC,Bitcoin,bitcoin
BTB,BitBar,bitbar
BTM,Bitmark,bitmark
SSD,Sonic,sonicscrewdriver
JBS,Jumbucks,coinmarketscoin
EMD,Emerald Crypto,emerald
ISR,Isracoin,isracoin
SWING,Swing,swing
CHAO,23 Skidoo,23-skidoo
SPHR,Sphere,sphere
MUE,MonetaryUnit,monetaryunit
CURE,CureCoin,curecoin
ISL,IslaCoin,islacoin
GBC,GBCGoldCoin,gbcgoldcoin
DGB,DigiByte,digibyte
DGC,Digitalcoin,digitalcoin
ECC,ECCoin,eccoin
CRT,CRTCoin,crtcoin
BITB,BitBean,bitbean
ASC,AsicCoin,asiccoin
BITZ,Bitz,bitz
KUMA,Kumacoin,kumacoin
X2,X2,x2
QTL,Quatloo,quatloo
BITS,Bitstar,bitstar
JKC,Junkcoin,junkcoin
VTA,Virtacoin,virtacoin
VTC,Vertcoin,vertcoin
DUO,ParallelCoin,parallelcoin
FRK,Franko,franko
XC,XCurrency,xcurrency
DUB,Dubstep,dubstep
NBL,Nibble,nibble
EUC,Eurocoin,eurocoin
UNB,UnbreakableCoin,unbreakablecoin
UNC,UNCoin,uncoin
CARB,Carboncoin,carboncoin
CLV,CleverCoin,clevercoin
BBR,Boolberry,boolberry
YAC,Yacoin,yacoin
UNO,Unobtanium,unobtanium
SCRT,SecretCoin,secretcoin
ZED,Zedcoin,zedcoin
CRC,CraftCoin,craftcoin
HVC,Heavycoin,heavycoin
CRAVE,Crave,crave
ZET,Zetacoin,zetacoin
INFX,Influxcoin,influxcoin
MAZE,MazeCoin,mazecoin
BITCNY,bitCNY,bitcny
FRC,Freicoin,freicoin
BITGBP,bitGBP,bitgbp
SLFI,Selfiecoin,selfiecoin
AGRS,Agoras Tokens,agoras-tokens
SDC,ShadowCash,shadowcoin
WBB,WildBeastBitcoin,wildbeastbitcoin
DUCK,DuckDuckCoin,duckduckcoin
DT,DarkToken,darktoken
DP,DigitalPrice,digitalprice
OFF,Cthulhu Offerings,cthulhu-offerings
CESC,CryptoEscudo,cryptoescudo
CYP,Cypher,cypher
CYT,Cryptokenz,cryptokenz
POT,PotCoin,potcoin
MRKT,FreeMarket,freemarket
POP,PopularCoin,popularcoin
CYC,Conspiracycoin,conspiracycoin
TGC,Tigercoin,tigercoin
RPC,RonPaulCoin,ronpaulcoin
TIPS,FedoraCoin,fedoracoin
NODE,Node,node
BITGOLD,bitGold,bitgold
RBY,Rubycoin,rubycoin
BITBTC,bitBTC,bitbtc
DOPE,DopeCoin,dopecoin
RBT,Rimbit,rimbit
RBR,RibbitRewards,ribbitrewards
SLR,SolarCoin,solarcoin
SLG,Sterlingcoin,sterlingcoin
MCN,MonetaVerde,monetaverde
DICE,NeoDICE,neodice
NRB,Noirbits,noirbits
LGD,LegendaryCoin,legendarycoin
QB,Quarkbar,quarkbar
MCZ,MangoCoinz,mangocoinz
NRS,NoirShares,noirshares
XGR,GoldReserve,goldreserve
$$$,Money,money
AXR,Axron,axron
EXE,Execoin,execoin
EXC,Extremecoin,extremecoin
CKC,Checkcoin,checkcoin
DETH,DarkEther,darkether
MUSE,MUSE,bitshares-music
SWARM,Swarm,swarm
HBN,HoboNickels,hobonickels
WS,Woodshares,woodshares
EXP,Expanse,expanse
LQD,LIQUID,liquid
PAK,Pakcoin,pakcoin
BSTY,GlobalBoost-Y,globalboost-y
ELP,ElephantCoin,elephantcoin
IBITS,iBits,ibits
TCO,TacoCoin,tacocoin
VNL,Vanillacoin,vanillacoin
RIN,Ringo,ringo
LTBC,LTBcoin,ltbcoin
CLR,Copperlark,copperlark
BITUSD,bitUSD,bitusd
DCR,DeltaCredits,deltacredits
RIC,Riecoin,riecoin
COV,Coven,coven
FRAC,Fractalcoin,fractalcoin
HAM,HamRadioCoin,hamradiocoin
SONG,SongCoin,songcoin
BOST,BoostCoin,boostcoin
NAN,NanoToken,nanotoken
KNC,KhanCoin,khancoin
SOON,SoonCoin,sooncoin
DASH,Dash,dash
TRMB,TRMB,trmb
BNB,BnB Coin,bnb-coin
THC,HempCoin,hempcoin
PHO,Photon,photon
BURST,Burst,burst
ZEIT,Zeitcoin,zeitcoin
GEO,GeoCoin,geocoin
SYS,SysCoin,syscoin
MEM,Memecoin,memecoin
TRBO,TurboStake,turbostake
LXC,Librexcoin,librexcoin
MZC,MazaCoin,mazacoin
PHS,Philosopher Stones,philosopher-stones
NAV,Navajo,navajo
SPEC,SPEC,spec
INDEX,CoinoIndex,coinoindex
DMD,Diamond,diamond
CRW,CrownCoin,crowncoin
EMC,EmerCoin,emercoin
BELA,BellaCoin,bellacoin
SYNC,Sync,sync
DRZ,Droidz,droidz
CGN,KolschCoin,kolschcoin
SKC,Skeincoin,skeincoin
SKB,SkullBuzz,skullbuzz
FLAP,FlappyCoin,flappycoin
ACOIN,Acoin,acoin
TTY,Trinity,trinity
XDN,DigitalNote,darknote
BUK,CryptoBuck,cryptobuk
BUN,BunnyCoin,bunnycoin
XDQ,Dirac,dirac
XDP,Dogeparty,dogeparty
BUB,Bubble,bubble
SWIFT,BitSwift,bitswift
FIBRE,Fibre,fibre
LIMX,LimeCoinX,limecoinx
KEY,KeyCoin,keycoin
TAGR,TAGRcoin,tagrcoin
OSC,OpenSourcecoin,opensourcecoin
UNIC,UniCoin,unicoin
XRA,Ratecoin,ratecoin
VGC,VegasCoin,vegascoin
FUND,Cryptofund,cryptofund
SHELL,ShellPay,shellpay
EFL,Electronic Gulden,electronic-gulden
XRP,Ripple,ripple
UNIT,Universal Currency,universal-currency
ULTC,Umbrella-LTC,umbrella-ltc
MARYJ,MaryJane,maryjane
ANC,Anoncoin,anoncoin
CBIT,CryptBit,cryptbit
SJCX,Storjcoin X,storjcoin-x
NVC,Novacoin,novacoin
FRSH,FreshCoin,freshcoin
JLH,jl777hodl,jl777hodl
HNC,Helleniccoin,helleniccoin
DSH,Dashcoin,dashcoin
GIVE,GiveCoin,givecoin
CHIP,ChipCoin,chipcoin
DVC,Devcoin,devcoin
FST,Fastcoin,fastcoin
BCY,Bitcrystals,bitcrystals
FIST,FistBump,fistbump
ETH,Ethereum,ethereum
COL,Colossuscoin,colossuscoin
BCR,Bitcredits,bitcredits
CON,PayCon,paycon
ZRC,ZiftrCOIN,ziftrcoin
CASH,Cashcoin,cashcoin
SPT,Spots,spots
VRC,VeriCoin,vericoin
FUNK,The Cypherfunks,the-cypherfunks
QORA,Qora,qora
TVE,The Viral Exchange,the-viral-exchange
C2,Coin2.1,coin2-1
ZS,ZimStake,zimstake
VIRAL,Viral,viral
FAIR,FairCoin,faircoin
DIME,Dimecoin,dimecoin
CC,CyberCoin,cybercoin
CB,CryptoByte,cryptobyte
XMG,Magi,magi
HEX,Heisenberg,heisenberg
CF,Californium,californium
COMM,CommunityCoin,communitycoin
SANDG,Save and Gain,save-and-gain
CS,CryptoSpots,cryptospots
IEC,IvugeoCoin,ivugeocoin
LDOGE,LiteDoge,litedoge
DRS,Denarius,denarius
PLS,PLAY,play
SNRG,Synergy,synergy
UFO,UFO Coin,ufo-coin
CDN,Canada eCoin,canada-ecoin
RNC,ReturnCoin,returncoin
BILS,BilShares,bilshares
NMC,Namecoin,namecoin
SAT2,Saturn2Coin,saturn2coin
LOG,Woodcoin,woodcoin
MNTA,Moneta,moneta
RUBIT,RubleBit,rublebit
DIG,Digit,digit
ANI,Animecoin,animecoin
HYP,HyperStake,hyperstake
LOT,LottoCoin,lottocoin
OPENBTC,OpenBTC,openbtc
ARCH,ARCHcoin,archcoin
AXIOM,Axiom,axiom
AIB,AIB,asian-investment-bond
PPC,Peercoin,peercoin
QRK,Quark,quark
SOL,Solcoin,solcoin
QCN,QuazarCoin,quazarcoin
NXTcoinsco,Tradebots,tradebots
DGCS,Digital Credits,digital-credits
GAM,Gambit,gambit
NSR,NuShares,nushares
G3N,Genstake,genstake
UTC,UltraCoin,ultracoin
GOOD,GoodCoin,goodcoin
MTR,MasterTraderCoin,mastertradercoin
XVI,Vibranium,vibranium
007,007Coin,007coin
HTML5,HTMLCOIN,htmlcoin
CNMT,Coinomat,coinomat
PINK,PinkCoin,pinkcoin
MAPC,MapCoin,mapcoin
SDP,SydPak,sydpak
NXTTY,Nxttycoin,nxttycoin
CV2,Colossuscoin V2,colossuscoin-v2
ARB,ARbit,arbit
PURE,PurePOS,purepos
ARG,Argentum,argentum
ARI,Aricoin,aricoin
TRUST,TrustPlus,trustplus
NYAN,Nyancoin,nyancoin
WDC,WorldCoin,worldcoin
TIX,Tickets,tickets
CANN,CannabisCoin,cannabiscoin
XJO,Joulecoin,joulecoin
BOT,Botcoin,botcoin
BCN,Bytecoin,bytecoin-bcn
DARK,DarkCoin,fudcoin
NAS,Nas,nas
CCN,Cannacoin,cannacoin
STEPS,Steps,steps
BOB,Dobbscoin,dobbscoin
BOD,Bloodcoin,bloodcoin
SHLD,ShieldCoin,shieldcoin
SXC,Sexcoin,sexcoin
APEX,ApexCoin,apexcoin
MYR,Myriadcoin,myriadcoin
CENT,Pennies,pennies
UIS,Unitus,unitus
LYB,Lyrabar,lyrabar
LYC,Lycancoin,lycancoin
IOC,I/O Coin,iocoin
BCF,BitcoinFast,bitcoinfast
TROLL,Trollcoin,trollcoin
NXT,Nxt,nxt
BQC,BBQCoin,bbqcoin
BOLI,Bolivarcoin,bolivarcoin
XAU,Xaurum,xaurum
NXE,NXE,nxe
XAI,Sapience AIFX,sapience-aifx
P7C,P7Coin,p7coin
OK,OKCash,okcash
CRAIG,CraigsCoin,craigscoin
OC,OrangeCoin,orangecoin
BVC,BeaverCoin,beavercoin
MAID,MaidSafeCoin,maidsafecoin
NTRN,Neutron,neutron
SCOT,Scotcoin,scotcoin
FETISH,Fetish,fetish
QDOS,Quedos,quedos
JUDGE,Judgecoin,judgecoin
BCX,BattleCoin,battlecoin
BTCRY,BitCrystal,bitcrystal
ICASH,iCash,icash
DEX,InstantDEX,instantdex
XST,Stealthcoin,stealthcoin
SMBR,Sembro Token,sembro-token
CLOAK,CloakCoin,cloakcoin
MWC,MultiWalletCoin,multiwalletcoin
DEM,Deutsche eMark,deutsche-emark
FLO,FlorinCoin,florincoin
LKY,Luckycoin,luckycoin
PANGEA,Pangea Poker,pangea-poker
XSI,StabilityShares,stabilityshares
VIOR,Viorcoin,viorcoin
BLOCK,Blocknet,blocknet
ICN,iCoin,icoin
AMC,AmericanCoin,americancoin
PTC,Pesetacoin,pesetacoin
ROX,ROXcoin,roxcoin
DOT,Dotcoin,dotcoin
AMP,Synereo,synereo
AMS,AmsterdamCoin,amsterdamcoin
ROS,RosCoin,roscoin
PTS,BitShares PTS,bitshares-pts
MNE,Munne,munne
TRI,Triangles,triangles
TRK,Truckcoin,truckcoin
BCENT,BitCent,bitcent
CAPT,CAPTcoin,captcoin
METAL,MetalCoin,metalcoin
TRC,Terracoin,terracoin
USDT,Tether,tether
KOBO,Kobocoin,kobocoin
VCN,Vcoin,vcoin
SAK,Sharkcoin,sharkcoin
USDe,USDe,usde
TIT,Titcoin,titcoin
VOOT,VootCoin,vootcoin
MYST,MysteryCoin,mysterycoin
ENRG,Energycoin,energycoin
FCX,Fantom,fantom
NOXT,NobleNXT,noblenxt
XCO,X-Coin,x-coin
LTCD,LitecoinDark,litecoindark
CHIPS,SmartChips,smartchips
LFO,Local Family Owned,local-family-owned
IVZ,InvisibleCoin,invisiblecoin
PLANET,PlanetCoin,planetcoin
HZ,Horizon,next-horizon
SHND,StrongHands,stronghands
NXTI,NXTInspect,nxtinspect
NEC,Neocoin,neocoin
XNC,XenCoin,xencoin
ACP,AnarchistsPrime,anarchistsprime
NXTV,NXTventure,nxtventure
CNO,Coin(O),coin
NET,NetCoin,netcoin
SILK,Silkcoin,silkcoin
FLDC,FoldingCoin,foldingcoin
TEK,TEKcoin,tekcoin
PMP,PreminePlus,premineplus
BITSILVER,bitSilver,bitsilver
CGA,Cryptographic Anomaly,cryptographic-anomaly
GEMZ,GetGems,gems
GRAV,Graviton,graviton
NBT,NuBits,nubits
FSC2,FriendshipCoin 2,friendshipcoin2
BKS,BlockShares,blockshares
TES,TeslaCoin,teslacoin
DEBUNE,DeBuNe,debune
CORE,CORE,btcor
CORG,CorgiCoin,corgicoin
GMC,GameCredits,gamecredits
ELC,Elacoin,elacoin
RBBT,RabbitCoin,rabbitcoin
J,Joincoin,joincoin
IRL,IrishCoin,irishcoin
GME,GameCoin,gamecoin
FLT,FlutterCoin,fluttercoin
RDD,ReddCoin,reddcoin
ADD,AdderalCoin,adderalcoin
ADC,AudioCoin,audiocoin
DIEM,CarpeDiemCoin,carpediemcoin
ADN,Aiden,aiden
VTR,vTorrent,vtorrent
MINT,Mintcoin,mintcoin
AEON,Aeon,aeon
ELT,Electron,electron
MED,MediterraneanCoin,mediterraneancoin
OZC,Ozziecoin,ozziecoin
MEC,Megacoin,megacoin
HIRO,Hirocoin,hirocoin
XEM,NEM,nem
NAUT,NautilusCoin,nautiluscoin
SMLY,SmileyCoin,smileycoin
LEO,LEOcoin,leocoin
CIRC,CryptoCircuits,cryptocircuits
GDC,GrandCoin,grandcoin
FLY,Flycoin,flycoin
STHR,Stakerush,stakerush
BRC,Biebercoin,biebercoin
QSLV,Quicksilver,quicksilver
SRC,SecureCoin,securecoin
XWT,World Trade Funds,wtf-coin
COINO,CoinoUSD,coinousd
BRE,BREAKcoin,breakcoin
MSC,Mastercoin,mastercoin
XWC,WhiteCoin,whitecoin
OBITS,Obits,obits
KARM,Karmacoin,karmacoin
TX,TransferCoin,transfercoin
EAC,EarthCoin,earthcoin
42,42 Coin,42-coin
PXI,Prime-XI,prime-xi
VDO,Vidio,vidio
PXL,Phalanx,phalanx
PXC,Phoenixcoin,phoenixcoin
AC,AsiaCoin,asiacoin
CUBE,DigiCube,digicube
TRON,Positron,positron
SPACE,SpaceCoin,spacecoin
ICB,IcebergCoin,icebergcoin
AM,AeroMe,aerocoin
START,Startcoin,startcoin
U,UCoin,ucoin
CNC,CHNCoin,chncoin
AX,AmeroX,amerox
CNL,ConcealCoin,concealcoin
XCASH,XCash,xcash
NKA,IncaKoin,incakoin
ZCC,ZcCoin,zccoin
NOTE,DNotes,dnotes
KGC,Krugercoin,krugercoin
NKT,Nakas,nakamotodark
SUPER,SuperCoin,supercoin
EZC,EZCoin,ezcoin
