CPN,compucoin
CPC,capricoin
CREVA,crevacoin
XBS,bitstake
NXTprivacy,nxtprivacy
SIB,sibcoin
YUM,candycoin
SKYNET,skynet-asset
NYC,newyorkcoin
GAIA,gaia
AGS,aegis
XBC,bitcoin-plus
TAU,agoras-tokens
DRKT,darktron
MONA,monacoin
SPR,spreadcoin
BLITZ,blitz
VOL,volumecoin
$MINEW,instaminenuggets-minew
TAG,tagcoin
DRKC,darkcash
XMR,monero
TAM,tamagucci
SPC,spikesprivatecoin
TAK,takcoin
PRIME,primechain
XPH,pharma
XPM,primecoin
GP,goldpieces
BTCS,bitcoin-scrypt
IXC,ixcoin
MTLMC3,metal-music-coin
NOBL,noblecoin
FIC,full-integrity-coin
XPY,paycoin2
PIGGY,piggycoin
BGCAFFE,buongiorno-caffe
FIMK,fimkrypto
BYC,bytecent
BTCD,bitcoindark
TRICK,trickycoin
ROS,roscoin
MAX,maxcoin
LAB,coinworkscoin
PLC2,polcoin
MAD,satoshimadness
FFC,fireflycoin
GUA,guarany
BEN,benjamins
GUE,guerillacoin
DTC,datacoin
007,007coin
GUN,guncoin
M1,supply-shock
VERSA,versa
YBC,ybcoin
BET,betacoin
LSD,lightspeed
HUC,huntercoin
HUN,hundredcoin
KDC,klondikecoin
TTC,tittiecoin
NMB,nimbus
GRT,grantcoin
FLAP,flappycoin
BLU,bluecoin
SOLE,solecoin
FLAX,flaxscript
GRF,graffiti
FTC,feathercoin
GRE,greencoin
GRC,gridcoin
BLK,blackcoin
CRACK,crackcoin
GRN,granitecoin
SPRTS,sprouts
DSB,darkshibe
BLC,blakecoin
COOL,coolcoin
HYPER,hyper
URC,unrealcoin
MI,xiaomicoin
NOC,nocturna
EMC2,einsteinium
CBX,cryptogenic-bullion
HLC,hellascoin
OPAL,opal
EKN,elektron
DON,donationcoin
SHADE,shadecoin
FJC,fujicoin
CRYPT,cryptcoin
GLC,globalcoin
GLD,goldcoin
XSEED,bitseeds
POLY,polybit
CTM,continuumcoin
CTO,crypto
SMC,smartcoin
RED,redcoin
CLAM,clams
FCT,factom
XFC,forevercoin
ZOOM,zoom
FCN,fantomcoin
BSC,bowscoin
ERM,ermis
FC2,fuelcoin
AUM,alexium
LTC,litecoin
LTB,litebar
UNITY,supernet-unity
AUR,auroracoin
XTC,tilecoin
VEC,vector
LTD,limitedcoin
BTQ,bitquark
CAT,catcoin
ALN,aliencoin
BTS,bitshares
ALF,alphacoin
NTR,neutrino
SBC,stablecoin
SC,smartchips
ORB,orbitcoin
MMC,memorycoin
GLYPH,glyph
I0C,i0coin
BAT,batcoin
SSV,ssvcoin
FUTC,futcoin
TOR,torcoin
BITEUR,biteur
TOP,topcoin
CAP,bottlecaps
RIPO,ripoffcoin
BAY,bitbay
ERC,europecoin
HAL,halcyon
BTE,bytecoin-bte
BTG,bitgem
CELL,solarfarm
Privatebet,privatebet
XPB,pebblecoin
BTA,bata
VPN,vpncoin
ABC,asset-backed-coin
HUGE,bigcoin
MACRO,macro
BANX,banxshares
NEOS,neoscoin
DOT,dotcoin
ZRC,ziftrcoin
RZR,razor
STR,starcoin
CZC,czechcrowncoin
ABY,applebyte
EXCL,exclusivecoin
CACH,cachecoin
CFN,confessioncoin
ORO,orobit
HZT,hazmatcoin
JINN,jinn
GENI,geniuscoin
PND,pandacoin-pnd
GB,greenbacks
XXX,xxxcoin
XQN,quotient
MIN,minerals
SF0,sharkfund0
LIT,lightcoin
GHC,gamerholiccoin
XUP,upcoin
ZNY,bitzeny
GAP,gapcoin
EGG,eggcoin
AMBER,ambercoin
DIBS,dibbits
PRC,prospercoin
MEOW,kittehcoin
PRO,prosperitycoin
PRT,particle
CHA,chancecoin
CHC,chaincoin
MRY,murraycoin
JAY,jay
MMNXT,mmnxt
URO,uro
MRS,marscoin
020,o2olondoncoin
QBK,qibuck
DIGS,diggits
MRC,microcoin
UTIL,utilitycoin
VIA,viacoin
DBL,doubloons
MMBTCD,mmbtcd
SFR,saffroncoin
8BIT,8bit
APC,applecoin
NIRO,coinshield
PYC,paycoin
GREXIT,grexit
KORE,korecoin
FRDC,freedomcoin
XLB,libertycoin
CAIx,caix
IFC,infinitecoin
SILK,silkcoin
SLING,sling
PLNC,plncoin
PKB,parkbyte
PSEUD,pseudocoin
CAID,coinaid
NLG,guldencoin
TENNET,tennet
GCC,guccionecoin
RMS,resumeoshares
DOGED,dogecoindark
WOP,worldpay
CSC,casinocoin
GCN,gcoin
SHA,shacoin
GCR,global-currency-reserve
MOTO,motocoin
SHF,shift
PHR,phreak
CAGE,cagecoin
LEAF,leafcoin
GSY,genesyscoin
XCE,cerium
XCH,clearinghouse
DOGE,dogecoin
XCN,cryptonite
BTX,bitcointx
MOON,mooncoin
XCR,crypti
XCP,counterparty
MGW,mgw
BTC,bitcoin
BTB,bitbar
BTM,bitmark
SSD,sonicscrewdriver
HEDG,hedgecoin
JBS,coinmarketscoin
EMD,emerald
ISR,isracoin
KTK,kryptkoin
SWING,swing
CHAO,23-skidoo
SPHR,sphere
MUE,monetaryunit
OCTO,octo
CURE,curecoin
2BACCO,2bacco
ISL,islacoin
DGB,digibyte
DGC,digitalcoin
ECC,eccoin
CRT,crtcoin
LIQUID,liquid
EBS,ebolashares
BITB,bitbean
ASC,asiccoin
BITZ,bitz
KUMA,kumacoin
QTL,quatloo
BITS,bitstar
ASN,ascension
JKC,junkcoin
VTA,virtacoin
VTC,vertcoin
FRK,franko
XC,xcurrency
DUB,dubstep
NBL,nibble
EUC,eurocoin
UNB,unbreakablecoin
UNC,uncoin
CARB,carboncoin
CLV,clevercoin
BBR,boolberry
YAC,yacoin
UNO,unobtanium
OMC,omnicoin
ZED,zedcoin
CRC,craftcoin
HVC,heavycoin
VMC,virtualminingcoin
CRAVE,crave
ZET,zetacoin
INFX,influxcoin
BITCNY,bitcny
FRC,freicoin
SLFI,selfiecoin
RT2,rotocoin
SDC,shadowcoin
WBB,wildbeastbitcoin
DUCK,duckduckcoin
DT,darktoken
DP,digitalprice
OFF,cthulhu-offerings
CESC,cryptoescudo
CYP,cypher
CYT,cryptokenz
POT,potcoin
MRKT,freemarket
ULTC,umbrella-ltc
POP,popularcoin
CYC,conspiracycoin
TGC,tigercoin
RPC,ronpaulcoin
TIPS,fedoracoin
NODE,node
BITGOLD,bitgold
RBY,rubycoin
BITBTC,bitbtc
DOPE,dopecoin
RBT,rimbit
RBR,ribbitrewards
SLR,solarcoin
SLG,sterlingcoin
U,ucoin
MCN,monetaverde
DICE,neodice
NRB,noirbits
WKC,wankcoin
LGD,legendarycoin
QB,quarkbar
MCZ,mangocoinz
BDSM,bdsm
NRS,noirshares
XGR,goldreserve
AXR,axron
EXE,execoin
EXC,extremecoin
CKC,checkcoin
SWARM,swarm
HBN,hobonickels
WS,woodshares
EXP,expanse
PAK,pakcoin
BSTY,globalboost-y
ELP,elephantcoin
IBITS,ibits
TCO,tacocoin
GLOBE,global
VNL,vanillacoin
RIN,ringo
LTBC,ltbcoin
CLR,copperlark
BITUSD,bitusd
DCR,deltacredits
RIC,riecoin
COV,coven
FRAC,fractalcoin
HAM,hamradiocoin
SONG,songcoin
BOST,boostcoin
NAN,nanotoken
KNC,khancoin
DASH,dash
TRMB,trmb
EQM,equilibrium
BNB,bnb-coin
THC,hempcoin
CETI,cetuscoin
CINNI,cinni
PHO,photon
BURST,burst
ZEIT,zeitcoin
SWIFT,bitswift
SYS,syscoin
MEM,memecoin
LXC,librexcoin
MZC,mazacoin
PHS,philosopher-stones
STEPS,steps
ANAL,analcoin
SPEC,spec
INDEX,coinoindex
DMD,diamond
CRW,crowncoin
EMC,emercoin
BELA,bellacoin
CRY,crycoin
SYNC,sync
DRZ,droidz
CGN,kolschcoin
SKC,skeincoin
GRS,groestlcoin
PR,prototanium
SHIBE,shibecoin
ACOIN,acoin
TTY,trinity
XDN,darknote
BUK,cryptobuk
BUN,bunnycoin
XDQ,dirac
XDP,dogeparty
GEO,geocoin
GEN,genstake
FIBRE,fibre
LIMX,limecoinx
KEY,keycoin
TAGR,tagrcoin
OSC,opensourcecoin
UNIC,unicoin
XRA,ratecoin
VGC,vegascoin
FUND,cryptofund
SHELL,shellpay
EFL,electronic-gulden
XRP,ripple
UNIT,universal-currency
LEA,leacoin
SANDG,save-and-gain
MARYJ,maryjane
ANC,anoncoin
CBIT,cryptbit
XEMP,empocredits
SJCX,storjcoin-x
NVC,novacoin
FRSH,freshcoin
JLH,jl777hodl
BCN,bytecoin-bcn
DSH,dashcoin
GIVE,givecoin
MYSTIC,mysticoin
CHIP,chipcoin
DVC,devcoin
FST,fastcoin
ICASH,icash
FIST,fistbump
ETH,ethereum
COL,colossuscoin
BCR,bitcredits
CON,paycon
BCENT,bitcent
GRM,gridmaster
CASH,cashcoin
SPT,spots
VRC,vericoin
FUNK,the-cypherfunks
QORA,qora
C2,coin2-1
ZS,zimstake
GSM,gsmcoin
SRC,securecoin
FAIR,faircoin
DIME,dimecoin
CC,cybercoin
XMG,magi
HEX,heisenberg
CF,californium
COMM,communitycoin
CS,cryptospots
IEC,ivugeocoin
LDOGE,litedoge
DRS,denarius
PLS,play
SNRG,synergy
UFO,ufo-coin
CDN,canada-ecoin
BILS,bilshares
NMC,namecoin
SAT2,saturn2coin
LOG,woodcoin
MNTA,moneta
DIG,digit
ANI,animecoin
HYP,hyperstake
LOT,lottocoin
ARCH,archcoin
AXIOM,axiom
AIB,asian-investment-bond
PPC,peercoin
$MINEZ,instaminenuggets-minez
QRK,quark
SOL,solcoin
QCN,quazarcoin
NXTcoinsco,tradebots
GAM,gambit
NSR,nushares
UTC,ultracoin
GOOD,goodcoin
MTR,mastertradercoin
BRIT,britcoin
XVI,vibranium
XCASH,xcash
HTML5,htmlcoin
CNMT,coinomat
PINK,pinkcoin
MAPC,mapcoin
SDP,sydpak
NXTTY,nxttycoin
CV2,colossuscoin-v2
ARB,arbit
PURE,purepos
ARG,argentum
ARI,aricoin
TRUST,trustplus
NYAN,nyancoin
WDC,worldcoin
TIX,tickets
PARA,paranoiacoin
EPY,empyrean
CANN,cannabiscoin
XJO,joulecoin
BOT,botcoin
SOON,sooncoin
DARK,fudcoin
NAS,nas
CCN,cannacoin
NAV,navajo
BOB,dobbscoin
BOD,bloodcoin
SHLD,shieldcoin
SXC,sexcoin
APEX,apexcoin
MYR,myriadcoin
CENT,pennies
UIS,unitus
LYC,lycancoin
IOC,iocoin
BCF,bitcoinfast
NXT,nxt
BQC,bbqcoin
BOLI,bolivarcoin
XAU,xaurum
NXE,nxe
XAI,sapience-aifx
P7C,p7coin
OK,okcash
CRAIG,craigscoin
HNC,helleniccoin
OC,orangecoin
BVC,beavercoin
MAID,maidsafecoin
NTRN,neutron
FETISH,fetish
JUDGE,judgecoin
BCX,battlecoin
BTCRY,bitcrystal
BCY,bitcrystals
HZ,next-horizon
XST,stealthcoin
SMBR,sembro-token
CLOAK,cloakcoin
MWC,multiwalletcoin
DEM,deutsche-emark
FLO,florincoin
LKY,luckycoin
PANGEA,pangea-poker
XSI,stabilityshares
VIOR,viorcoin
BLOCK,blocknet
ICN,icoin
$MINE,instaminenuggets-mine
AMC,americancoin
PTC,pesetacoin
ROX,roxcoin
SPA,spaincoin
AMS,amsterdamcoin
MNC,mincoin
PTS,bitshares-pts
MNE,munne
TRI,triangles
TRK,truckcoin
TRL,trollcoin
DETH,darkether
CAPT,captcoin
AM,aerocoin
TRC,terracoin
USDT,tether
KOBO,kobocoin
VCN,vcoin
SAK,sharkcoin
USDe,usde
TIT,titcoin
VOOT,vootcoin
MYST,mysterycoin
TNG,turingcoin
ENRG,energycoin
NOXT,noblenxt
XCO,x-coin
LTCD,litecoindark
LFO,local-family-owned
IVZ,invisiblecoin
PLANET,planetcoin
XCPSCO,scotcoin
DEX,instantdex
NXTI,nxtinspect
NEC,neocoin
XNC,xencoin
ACP,anarchistsprime
NXTV,nxtventure
NET,netcoin
NEU,neucoin
FLDC,foldingcoin
TEK,tekcoin
PMP,premineplus
BITSILVER,bitsilver
CGA,cryptographic-anomaly
GEMZ,gems
GRAV,graviton
NBT,nubits
BIOS,bios-crypto
FSC2,friendshipcoin2
BKS,blockshares
TES,teslacoin
DEBUNE,debune
CORG,corgicoin
GMC,gamecredits
ELC,elacoin
RBBT,rabbitcoin
J,joincoin
IRL,irishcoin
SJW,sjwcoin
GME,gamecoin
FLT,fluttercoin
RDD,reddcoin
ADD,adderalcoin
ADC,audiocoin
DIEM,carpediemcoin
ADN,aiden
VTR,vtorrent
MINT,mintcoin
AEON,aeon
ELT,electron
MED,mediterraneancoin
OZC,ozziecoin
MEC,megacoin
HIRO,hirocoin
XEM,nem
NAUT,nautiluscoin
SMLY,smileycoin
LEO,leocoin
CIRC,cryptocircuits
GDC,grandcoin
FLY,flycoin
STHR,stakerush
BRC,biebercoin
FONZ,fonziecoin
QSLV,quicksilver
VIRAL,viral
XWT,wtf-coin
COINO,coinousd
BRE,breakcoin
MSC,mastercoin
XWC,whitecoin
KARM,karmacoin
TX,transfercoin
EAC,earthcoin
42,42-coin
PXI,prime-xi
VDO,vidio
PXL,phalanx
PXC,phoenixcoin
TB,telebet
AC,asiacoin
TRON,positron
SPACE,spacecoin
ICB,icebergcoin
METAL,metalcoin
START,startcoin
CND,cannabisdarkcoin
AU,aurumcoin
CNC,chncoin
CNO,coin
CNL,concealcoin
NKA,incakoin
ZCC,zccoin
NOTE,bitshares-music
KGC,krugercoin
NKT,nakamotodark
CHILD,x-children
SUPER,supercoin
EZC,ezcoin
