CPN,CompuCoin
CPC,Capricoin
CREVA,CrevaCoin
XBS,BitStake
NXTprivacy,NXTprivacy
SIB,SIBCoin
YUM,CandyCoin
SKYNET,SkyNET
NYC,NewYorkCoin
GAIA,GAIA
AGS,Aegis
XBC,Bitcoin Plus
TAU,Agoras Tokens
DRKT,DarkTron
MONA,MonaCoin
SPR,SpreadCoin
BLITZ,Blitz
VOL,VolumeCoin
$MINEW,InstaMineNuggets A
TAG,TagCoin
DRKC,DarkCash
XMR,Monero
TAM,Tamagucci
SPC,SpikesPrivateCoin
TAK,TakCoin
PRIME,PrimeChain
XPH,Pharma
XPM,Primecoin
GP,GoldPieces
BTCS,Bitcoin Scrypt
IXC,Ixcoin
MTLMC3,Metal Music Coin
NOBL,NobleCoin
FIC,Full Integrity Coin
XPY,PayCoin
PIGGY,Piggycoin
BGCAFFE,Buongiorno Caffe
FIMK,FIMKrypto
BYC,Bytecent
BTCD,BitcoinDark
TRICK,TrickyCoin
ROS,RosCoin
MAX,MaxCoin
LAB,Coinworkscoin
PLC2,Polcoin
MAD,SatoshiMadness
FFC,FireFlyCoin
GUA,Guarany
BEN,Benjamins
GUE,Guerillacoin
DTC,Datacoin
007,007Coin
GUN,Guncoin
M1,Supply Shock
VERSA,Versa
YBC,YbCoin
BET,BetaCoin
LSD,Lightspeed
HUC,HunterCoin
HUN,Hundredcoin
KDC,KlondikeCoin
TTC,TittieCoin
NMB,Nimbus
GRT,Grantcoin
FLAP,FlappyCoin
BLU,BlueCoin
SOLE,Solecoin
FLAX,Flaxscript
GRF,Graffiti
FTC,Feathercoin
GRE,Greencoin
GRC,GridCoin
BLK,BlackCoin
CRACK,CrackCoin
GRN,GraniteCoin
SPRTS,Sprouts
DSB,DarkShibe
BLC,Blakecoin
COOL,CoolCoin
HYPER,Hyper
URC,Unrealcoin
MI,Xiaomicoin
NOC,Nocturna
EMC2,Einsteinium
CBX,Crypto Bullion
HLC,HellasCoin
OPAL,Opal
EKN,Elektron
DON,Donationcoin
SHADE,ShadeCoin
FJC,FujiCoin
CRYPT,CryptCoin
GLC,GlobalCoin
GLD,GoldCoin
XSEED,BitSeeds
POLY,Polybit
CTM,ContinuumCoin
CTO,Crypto
SMC,SmartCoin
RED,RedCoin
CLAM,Clams
FCT,Factom
XFC,Forevercoin
ZOOM,Zoom
FCN,Fantomcoin
BSC,BowsCoin
ERM,Ermis
FC2,FuelCoin
AUM,Alexium
LTC,Litecoin
LTB,LiteBar
UNITY,SuperNET
AUR,Auroracoin
XTC,TileCoin
VEC,Vector
LTD,LimitedCoin
BTQ,BitQuark
CAT,Catcoin
ALN,Aliencoin
BTS,BitShares
ALF,AlphaCoin
NTR,Neutrino
SBC,StableCoin
SC,SmartChips
ORB,Orbitcoin
MMC,Memorycoin
GLYPH,Glyph
I0C,I0Coin
BAT,BatCoin
SSV,SSVCoin
FUTC,FutCoin
TOR,TorCoin
BITEUR,bitEUR
TOP,TopCoin
CAP,Bottlecaps
RIPO,RipoffCoin
BAY,BitBay
ERC,EuropeCoin
HAL,Halcyon
BTE,Bytecoin
BTG,Bitgem
CELL,SolarFarm
Privatebet,Privatebet
XPB,Pebblecoin
BTA,Bata
VPN,VPNCoin
ABC,Asset Backed Coin
HUGE,BigCoin
MACRO,Macro
BANX,BanxShares
NEOS,NeosCoin
DOT,Dotcoin
ZRC,ZiftrCOIN
RZR,Razor
STR,StarCoin
CZC,CzechCrownCoin
ABY,ArtByte
EXCL,ExclusiveCoin
CACH,CacheCoin
CFN,ConfessionCoin
ORO,ORObit
HZT,HazMatCoin
JINN,Jinn
GENI,Geniuscoin
PND,Pandacoin
GB,GreenBacks
XXX,XxXcoin
XQN,Quotient
MIN,Mineralscoin
SF0,sharkfund0
LIT,Lightcoin
GHC,GamerholicCoin
XUP,UPcoin
ZNY,Bitzeny
GAP,Gapcoin
EGG,EggCoin
AMBER,AmberCoin
DIBS,Dibbits
PRC,ProsperCoin
MEOW,Kittehcoin
PRO,ProsperityCoin
PRT,Particle
CHA,Chancecoin
CHC,ChainCoin
MRY,Murraycoin
JAY,Jay
MMNXT,MMNXT
URO,Uro
MRS,Marscoin
020,020LondonCoin
QBK,Qibuck
DIGS,Diggits
MRC,microCoin
UTIL,UtilityCoin
VIA,Viacoin
DBL,Doubloons
MMBTCD,MMBTCD
SFR,SaffronCoin
8BIT,8Bit
APC,Applecoin
NIRO,Nexus
PYC,Paycoin
GREXIT,Grexit
KORE,KoreCoin
FRDC,FreedomCoin
XLB,Libertycoin
CAIx,CAIx
IFC,Infinitecoin
SILK,Silkcoin
SLING,Sling
PLNC,PLNcoin
PKB,ParkByte
PSEUD,PseudoCash
CAID,Coinaid
NLG,Gulden
TENNET,TenneT
GCC,GuccioneCoin
RMS,Resumeo Shares
DOGED,DogeCoinDark
WOP,WorldPay
CSC,CasinoCoin
GCN,GCoin
SHA,SHACoin
GCR,Global Currency Reserve
MOTO,Motocoin
SHF,Shift
PHR,Phreak
CAGE,CageCoin
LEAF,LeafCoin
GSY,GenesysCoin
XCE,Cerium
XCH,ClearingHouse
DOGE,Dogecoin
XCN,Cryptonite
BTX,BitcoinTX
MOON,Mooncoin
XCR,Crypti
XCP,Counterparty
MGW,MGW
BTC,Bitcoin
BTB,BitBar
BTM,Bitmark
SSD,SonicScrewdriver
HEDG,HedgeCoin
JBS,Jumbucks
EMD,Emerald Crypto
ISR,Isracoin
KTK,Kryptkoin
SWING,Swing
CHAO,23 Skidoo
SPHR,Sphere
MUE,MonetaryUnit
OCTO,Octo
CURE,CureCoin
2BACCO,2BACCO
ISL,IslaCoin
DGB,DigiByte
DGC,Digitalcoin
ECC,ECCoin
CRT,CRTCoin
LIQUID,LIQUID
EBS,EBOLAShares
BITB,BitBean
ASC,AsicCoin
BITZ,Bitz
KUMA,Kumacoin
QTL,Quatloo
BITS,Bitstar
ASN,Ascension
JKC,Junkcoin
VTA,Virtacoin
VTC,Vertcoin
FRK,Franko
XC,XCurrency
DUB,Dubstep
NBL,Nibble
EUC,Eurocoin
UNB,UnbreakableCoin
UNC,UNCoin
CARB,Carboncoin
CLV,CleverCoin
BBR,Boolberry
YAC,Yacoin
UNO,Unobtanium
OMC,Omnicoin
ZED,Zedcoin
CRC,CraftCoin
HVC,Heavycoin
VMC,VirtualMiningCoin
CRAVE,Crave
ZET,Zetacoin
INFX,Influxcoin
BITCNY,bitCNY
FRC,Freicoin
SLFI,Selfiecoin
RT2,RotoCoin
SDC,ShadowCash
WBB,WildBeastBitcoin
DUCK,DuckDuckCoin
DT,DarkToken
DP,DigitalPrice
OFF,Cthulhu Offerings
CESC,CryptoEscudo
CYP,Cypher
CYT,Cryptokenz
POT,PotCoin
MRKT,FreeMarket
ULTC,Umbrella-LTC
POP,PopularCoin
CYC,Conspiracycoin
TGC,Tigercoin
RPC,RonPaulCoin
TIPS,FedoraCoin
NODE,Node
BITGOLD,bitGold
RBY,Rubycoin
BITBTC,bitBTC
DOPE,DopeCoin
RBT,Rimbit
RBR,RibbitRewards
SLR,SolarCoin
SLG,Sterlingcoin
U,UCoin
MCN,MonetaVerde
DICE,NeoDICE
NRB,Noirbits
WKC,WankCoin
LGD,LegendaryCoin
QB,Quarkbar
MCZ,MangoCoinz
BDSM,BDSM
NRS,NoirShares
XGR,GoldReserve
AXR,Axron
EXE,Execoin
EXC,Extremecoin
CKC,Checkcoin
SWARM,Swarm
HBN,HoboNickels
WS,Woodshares
EXP,Expanse
PAK,Pakcoin
BSTY,GlobalBoost-Y
ELP,ElephantCoin
IBITS,iBits
TCO,TacoCoin
GLOBE,Global
VNL,Vanillacoin
RIN,Ringo
LTBC,LTBcoin
CLR,Copperlark
BITUSD,bitUSD
DCR,DeltaCredits
RIC,Riecoin
COV,Coven
FRAC,Fractalcoin
HAM,HamRadioCoin
SONG,SongCoin
BOST,BoostCoin
NAN,NanoToken
KNC,KhanCoin
DASH,Dash
TRMB,TRMB
EQM,Equilibrium
BNB,BnB Coin
THC,HempCoin
CETI,Cetuscoin
CINNI,Cinni
PHO,Photon
BURST,Burst
ZEIT,Zeitcoin
SWIFT,BitSwift
SYS,SysCoin
MEM,Memecoin
LXC,Librexcoin
MZC,MazaCoin
PHS,Philosopher Stones
STEPS,Steps
ANAL,AnalCoin
SPEC,SPEC
INDEX,CoinoIndex
DMD,Diamond
CRW,CrownCoin
EMC,EmerCoin
BELA,BellaCoin
CRY,CRYcoin
SYNC,Sync
DRZ,Droidz
CGN,KolschCoin
SKC,Skeincoin
GRS,GroestlCoin
PR,Prototanium
SHIBE,ShibeCoin
ACOIN,Acoin
TTY,Trinity
XDN,DigitalNote
BUK,CryptoBuck
BUN,BunnyCoin
XDQ,Dirac
XDP,Dogeparty
GEO,GeoCoin
GEN,Genstake
FIBRE,Fibre
LIMX,LimeCoinX
KEY,KeyCoin
TAGR,TAGRcoin
OSC,OpenSourcecoin
UNIC,UniCoin
XRA,Ratecoin
VGC,VegasCoin
FUND,Cryptofund
SHELL,ShellPay
EFL,Electronic Gulden
XRP,Ripple
UNIT,Universal Currency
LEA,LeaCoin
SANDG,Save and Gain
MARYJ,MaryJane
ANC,Anoncoin
CBIT,CryptBit
XEMP,EmpoCredits
SJCX,Storjcoin X
NVC,Novacoin
FRSH,FreshCoin
JLH,jl777hodl
BCN,Bytecoin
DSH,Dashcoin
GIVE,GiveCoin
MYSTIC,Mysticoin
CHIP,ChipCoin
DVC,Devcoin
FST,Fastcoin
ICASH,iCash
FIST,FistBump
ETH,Ethereum
COL,Colossuscoin
BCR,Bitcredits
CON,PayCon
BCENT,BitCent
GRM,Gridmaster
CASH,Cashcoin
SPT,Spots
VRC,VeriCoin
FUNK,The Cypherfunks
QORA,Qora
C2,Coin2.1
ZS,ZimStake
GSM,GSMcoin
SRC,SecureCoin
FAIR,FairCoin
DIME,Dimecoin
CC,CyberCoin
XMG,Magi
HEX,Heisenberg
CF,Californium
COMM,CommunityCoin
CS,CryptoSpots
IEC,IvugeoCoin
LDOGE,LiteDoge
DRS,Denarius
PLS,PLAY
SNRG,Synergy
UFO,UFO Coin
CDN,Canada eCoin
BILS,BilShares
NMC,Namecoin
SAT2,Saturn2Coin
LOG,Woodcoin
MNTA,Moneta
DIG,Digit
ANI,Animecoin
HYP,HyperStake
LOT,LottoCoin
ARCH,ARCHcoin
AXIOM,Axiom
AIB,AIB
PPC,Peercoin
$MINEZ,InstaMineNuggets B
QRK,Quark
SOL,Solcoin
QCN,QuazarCoin
NXTcoinsco,Tradebots
GAM,Gambit
NSR,NuShares
UTC,UltraCoin
GOOD,GoodCoin
MTR,MasterTraderCoin
BRIT,BritCoin
XVI,Vibranium
XCASH,XCash
HTML5,HTMLCOIN
CNMT,Coinomat
PINK,PinkCoin
MAPC,MapCoin
SDP,SydPak
NXTTY,Nxttycoin
CV2,Colossuscoin V2
ARB,ARbit
PURE,PurePOS
ARG,Argentum
ARI,Aricoin
TRUST,TrustPlus
NYAN,Nyancoin
WDC,WorldCoin
TIX,Tickets
PARA,ParanoiaCoin
EPY,Empyrean
CANN,CannabisCoin
XJO,Joulecoin
BOT,Botcoin
SOON,SoonCoin
DARK,DarkCoin
NAS,Nas
CCN,Cannacoin
NAV,Navajo
BOB,Dobbscoin
BOD,Bloodcoin
SHLD,ShieldCoin
SXC,Sexcoin
APEX,ApexCoin
MYR,Myriadcoin
CENT,Pennies
UIS,Unitus
LYC,Lycancoin
IOC,I/O Coin
BCF,BitcoinFast
NXT,Nxt
BQC,BBQCoin
BOLI,Bolivarcoin
XAU,Xaurum
NXE,NXE
XAI,Sapience AIFX
P7C,P7Coin
OK,OKCash
CRAIG,CraigsCoin
HNC,Helleniccoin
OC,OrangeCoin
BVC,BeaverCoin
MAID,MaidSafeCoin
NTRN,Neutron
FETISH,Fetish
JUDGE,Judgecoin
BCX,BattleCoin
BTCRY,BitCrystal
BCY,Bitcrystals
HZ,Horizon
XST,Stealthcoin
SMBR,Sembro Token
CLOAK,CloakCoin
MWC,MultiWalletCoin
DEM,Deutsche eMark
FLO,FlorinCoin
LKY,Luckycoin
PANGEA,Pangea Poker
XSI,StabilityShares
VIOR,Viorcoin
BLOCK,Blocknet
ICN,iCoin
$MINE,InstaMineNuggets
AMC,AmericanCoin
PTC,Pesetacoin
ROX,ROXcoin
SPA,SpainCoin
AMS,AmsterdamCoin
MNC,Mincoin
PTS,BitShares PTS
MNE,Munne
TRI,Triangles
TRK,Truckcoin
TRL,Trollcoin
DETH,DarkEther
CAPT,CAPTcoin
AM,AeroMe
TRC,Terracoin
USDT,Tether
KOBO,Kobocoin
VCN,Vcoin
SAK,Sharkcoin
USDe,USDe
TIT,Titcoin
VOOT,VootCoin
MYST,MysteryCoin
TNG,TuringCoin
ENRG,Energycoin
NOXT,NobleNXT
XCO,X-Coin
LTCD,LitecoinDark
LFO,Local Family Owned
IVZ,InvisibleCoin
PLANET,PlanetCoin
XCPSCO,Scotcoin
DEX,InstantDEX
NXTI,NXTInspect
NEC,Neocoin
XNC,XenCoin
ACP,AnarchistsPrime
NXTV,NXTventure
NET,NetCoin
NEU,NeuCoin
FLDC,FoldingCoin
TEK,TEKcoin
PMP,PreminePlus
BITSILVER,bitSilver
CGA,Cryptographic Anomaly
GEMZ,GetGems
GRAV,Graviton
NBT,NuBits
BIOS,Bios Crypto
FSC2,FriendshipCoin 2
BKS,BlockShares
TES,TeslaCoin
DEBUNE,DeBuNe
CORG,CorgiCoin
GMC,GameCredits
ELC,Elacoin
RBBT,RabbitCoin
J,Joincoin
IRL,IrishCoin
SJW,SJWCoin
GME,GameCoin
FLT,FlutterCoin
RDD,ReddCoin
ADD,AdderalCoin
ADC,AudioCoin
DIEM,CarpeDiemCoin
ADN,Aiden
VTR,vTorrent
MINT,Mintcoin
AEON,Aeon
ELT,Electron
MED,MediterraneanCoin
OZC,Ozziecoin
MEC,Megacoin
HIRO,Hirocoin
XEM,NEM
NAUT,NautilusCoin
SMLY,SmileyCoin
LEO,LEOcoin
CIRC,CryptoCircuits
GDC,GrandCoin
FLY,Flycoin
STHR,Stakerush
BRC,Biebercoin
FONZ,Fonziecoin
QSLV,Quicksilver
VIRAL,Viral
XWT,World Trade Funds
COINO,CoinoUSD
BRE,BREAKcoin
MSC,Mastercoin
XWC,WhiteCoin
KARM,Karmacoin
TX,TransferCoin
EAC,EarthCoin
42,42 Coin
PXI,Prime-XI
VDO,Vidio
PXL,Phalanx
PXC,Phoenixcoin
TB,TeleBET
AC,AsiaCoin
TRON,Positron
SPACE,SpaceCoin
ICB,IcebergCoin
METAL,MetalCoin
START,Startcoin
CND,CannabisDarkcoin
AU,AurumCoin
CNC,CHNCoin
CNO,Coin(O)
CNL,ConcealCoin
NKA,IncaKoin
ZCC,ZcCoin
NOTE,NOTE
KGC,Krugercoin
NKT,Nakas
CHILD,X-Children
SUPER,SuperCoin
EZC,EZCoin
